"DispNum3" "IncidNum3" "DispNum4" "IncidNum4" "StDay" "StMon" "StYear" "EndDay" "EndMon" "EndYear" "Duration" "TBI" "Fatality" "FatalPre" "Action" "HostLev" "NumA" "RevType1" "RevType2" "Version"
"2074" 4282 4282020 30201 30201020 8 8 2003 8 8 2003 1 10 0 0 7 3 1 2 0 4.01
"2075" 4282 4282021 30201 30201021 18 8 2003 18 8 2003 1 7 0 0 7 3 1 2 0 4.01
"2076" 4282 4282022 30201 30201022 25 8 2003 25 8 2003 1 0 0 0 7 3 1 2 0 4.01
"2077" 4282 4282023 30201 30201023 25 8 2003 25 8 2003 1 66 0 0 7 3 1 2 0 4.01
"2078" 4282 4282024 30201 30201024 30 10 2003 30 10 2003 1 0 0 0 7 3 1 2 0 4.01
"2079" 4282 4282025 30201 30201025 30 10 2003 30 10 2003 1 25 0 0 7 3 1 2 0 4.01
"2080" 4282 4282026 30201 30201026 24 11 2003 24 11 2003 1 0 0 0 7 3 1 2 0 4.01
"2081" 4282 4282027 30201 30201027 24 11 2003 24 11 2003 1 96 0 0 7 3 1 2 0 4.01
"2082" 4282 4282028 30201 30201028 28 2 2004 28 2 2004 1 137 0 0 7 3 1 2 0 4.01
"2083" 4282 4282029 30201 30201029 14 7 2004 14 7 2004 1 0 0 0 7 3 1 2 0 4.01
"2084" 4282 4282030 30201 30201030 14 7 2004 14 7 2004 1 31 0 0 7 3 1 2 0 4.01
"2085" 4282 4282031 30201 30201031 14 8 2004 14 8 2004 1 40 0 0 7 3 1 2 0 4.01
"2086" 4282 4282032 30201 30201032 23 9 2004 23 9 2004 1 19 0 0 7 3 1 2 0 4.01
"2087" 4282 4282033 30201 30201033 12 10 2004 12 10 2004 1 13 0 0 7 3 1 2 0 4.01
"2088" 4282 4282034 30201 30201034 25 10 2004 25 10 2004 1 7 0 0 8 3 1 0 0 4.01
"2089" 4282 4282035 30201 30201035 1 11 2004 1 11 2004 1 0 0 0 7 3 1 2 0 4.01
"2090" 4282 4282036 30201 30201036 1 11 2004 1 11 2004 1 9 0 0 7 3 1 2 0 4.01
"2091" 4282 4282037 30201 30201037 10 11 2004 10 11 2004 1 -9 0 0 7 3 1 2 0 4.01
"2184" 4320 4320003 20201 20201003 1 1 2002 1 1 2002 1 0 0 0 7 3 1 1 2 4.01
"2185" 4320 4320004 20201 20201004 1 1 2002 1 1 2002 1 133 0 0 7 3 1 1 2 4.01
"2186" 4320 4320005 20201 20201005 14 5 2002 14 5 2002 1 0 0 0 7 3 1 1 2 4.01
"2187" 4320 4320006 20201 20201006 14 5 2002 14 5 2002 1 14 0 0 7 3 1 1 2 4.01
"2188" 4320 4320007 20201 20201007 28 5 2002 28 5 2002 1 0 0 0 7 3 1 1 2 4.01
"2189" 4320 4320008 20201 20201008 28 5 2002 28 5 2002 1 9 0 0 7 3 1 1 2 4.01
"2190" 4320 4320009 20201 20201009 6 6 2002 6 6 2002 1 117 0 0 7 3 1 1 2 4.01
